
INFO_NOFUNDS				;金は持っているのか？
WAR_END_REQUESTOTHER_REJECT		;我々は惨めな{0}に対して戦争を終わらせるつもりはない！

SUBJUGATIONDEMAND_ACCEPT		;わかった、敗北を認め、貴国が支配者である事を認めよう
SUBJUGATIONDEMAND_REJECT		;断る、支配のための法外な要求に応じる事はない！
SUBJUGATIONOFFER_ACCEPT			;いいだろう、敗北を受け入れ我が国の手足となった事を歓迎しよう。\n\n定期的な貢物を楽しみに待っているぞ。貴様達が問題を起こす厄介者ではないことを願ってな。
SUBJUGATIONOFFER_REJECT			;だめだ、貴様達にはまだまだ地獄のような苦しみを味わってもらうぞ

SUBJUGATION_REQUESTRELEASE		;人々は貴方の専制支配に苛立っている！奴隷解放を要求する！
SUBJUGATION_RELEASE			;わかりました、貴方達を解放しましょう。さぁ、自由を満喫するといい。
SUBJUGATION_REFUSERELEASE		;だめだ、貴様達はずっと奴隷のままだ。貴様達が更に良い奴隷を見つければよい、そうは思わないか？

GIFT_GIVE				;分け前だ　受け取ってくれ（{0}クレジット）
GIFT_THANKS				;感謝するぜ
GIFT_PROPOSE				;どのような贈り物をしますか？

WARNING						;何それ？
WARNING_INTELLIGENCEMISSIONS			;貴国の我が国に対する隠密任務を直ちに終了するように警告する！我々はこのような活動を一切許すつもりはない！
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;我々は貴国に対するそのような活動を認識していないが、直ちに状況の調査及び改善を約束する
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;我々が必ずこの事件を調査、解決する事を約束します。
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;隠密任務？何の任務を？どんな任務があったにしろ、確かにそれらについて貴国には話さないだろう。だが、いずれにせよそのような任務は存在しない...被害妄想で言い掛かりをつけるのは止めて貰いたい！
WARNING_ATTACKS					;我が国に対する全攻撃を直ちに中止せよ！中止しない場合、圧倒的な武力で対抗する！
WARNING_ATTACKS_RESPONSE_FRIENDLY		;何と恐ろしい事を...今回の軍司令官の行き過ぎた行動に対し、心から謝罪致します
WARNING_ATTACKS_RESPONSE_NEUTRAL		;我々はこの事件を調査し、軍司令官に然るべき処置をすることを約束します
WARNING_ATTACKS_RESPONSE_ANGRY			;攻撃？貴国のような脆弱な帝国などに攻撃するほど暇ではない

WARNING_REMOVEFORCESSYSTEM					;我が国の領土に貴国の軍隊が駐留している。\n\n即刻、{0}星系からの撤退を要求する！
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;{0}星系から軍船を撤退するつもりはない
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;貴国の要求に応じる。我々の軍船は{0}星系から撤退を開始した。
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;おかしいですね？貴国の領土内に我々の軍隊など駐留しておりませんよ。

HISTORY_OFFER_LOCATIONHINT		;我々の研究は、歴史的に重要な遺物の場所を明らかにしました。\n\n詳しく知りたいですか？
HISTORY_LOCATIONHINT			;情報源は{0}について我々に伝えました。\n\n遺物はそこで見つかります。
HISTORY_OFFER_STORYCLUE			;我々は、我々はあなたが自分のために参照すべきだと思うことが何か重要なことを発見しました。\n\n処理を我々は細心の注意を持っている？
HISTORY_OFFER_STORYMESSAGE		;私たちは、あなたが聞く必要があることが重要な警告があります。\n\n処理を我々は細心の注意を持っている？



MININGRIGHTS_OFFER		;我々の領土内に貴国に対する採掘権を用意しています\n\n削除すると、今我々の領土の採掘ステーションを構築することができる。
MININGRIGHTS_CANCEL		;我々の国境内のあなたの採掘権が取り消されています\n\n削除すると、我々の領土内にあなたの採掘ステーションのすべてを削除する必要があります！
MILITARYREFUELING_OFFER		;私たちはあなたの軍の船が私たちのコロニーや宇宙港で燃料補給できるようにするために喜んでいます\n\nWEがあなたの艦隊はこの配置が役立つことを願っています。
MILITARYREFUELING_CANCEL		;あなたの軍の燃料補給の権利が取り消されたん\n\nあなたの軍艦はもはや我々のコロニーや宇宙港で給油しないかもしれません。



CANCELPIRATEPROTECTION				;私達は、もはやあなたの保護を必要としなくなった。あなたと私たちの協定は解除されます。
CANCELPIRATEPROTECTIONPIRATE				;俺達は貴様の保護を必要としなくなった。協定を解除する。
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT		;私達は、あなた達からの｢保護｣の申し出を受け入れます。私達はあなたに毎月{0}クレジットを支払うことに同意します。
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT		;私達は、あなた達からの｢保護｣の申し出を拒絶する。

PIRATE_EXTORTPROTECTION		;ごきげんよう、哀れな犠牲者諸君！諸君らは俺達の攻撃に気付いたかもしれない。しかし、わずか月額{0}クレジットの投資で不必要な暴力を回避することができる\n\nよく考えてくれ。時間は待っちゃくれないぜ\n\n支払う準備はできたかな？

PIRATE_TRUCEPROPOSE		;諸君らは、俺達と休戦をするのが賢明だ。同意すれば安全を確保することが出来る
PIRATE_TRUCEPROPOSEINITIATE                ;宇宙の無法地域を通って移動する時、誰が隠れた危険性から守ってくれるっていうんだ？\n\n休戦すればすくなくとも俺達との安全は確保できるぜ\n\nこういう時はどう言うかわかっているよな？
PIRATE_TRUCEACCEPTRESPONSE		;素晴らしいな！停戦の間、俺たちが'任意の不幸な事故'も起こらないって事を保障してやるぜ...
PIRATE_TRUCEREJECTRESPONSE		;残念なこった！仲良く出来ないっていうんじゃ仕方ねえな、せいぜい気をつけな...
