'System names

'If you modify this file, place your modified version in the 'Customization' folder - do NOT overwrite the original file in the game folder

Alpha Kassieda, Arax, Beta Kapola, Bita Dasolun, Betilosi, 
Sencar, Sciibu, Sulanos, Sumuv Ret, Surunea, 
Sreloor, Stinus, Sondare, Sy Myrth, Talisea, 
Tangrini, Tar Murdin, Tasareq, Tashtur Sinika, Thanta Zelbra, 
Thacwaa, Tebren, Tebru, Tenalles, Terak Monda, 
Tudereom, Tugumenda, Turvec, Tran Mareil, Tranthillex, 
Trassetan, Trillar Yaigan, Trendillu, Tretun, Tythun, 
Olabus, Oltaar, Ombara, Orazoon, Otapao, 
Undos, Othares, Varlenaar, Vilabre, Viladeni, 
Vilmuueni, Vilosea, Vinaare, Vintuueni, Virdanth, 
Vistar, Vekundur, Vubus, Vun-Alae, Vurean, 
Vycus, Wigu, Wuustre, Woccar, Xa Fil, 
Xarton, Xu, Yablare, Yaselur, Yirphunea, 
Yitnes, Yiturus, Yurn Scut, Yogame, Yolant, 
Zaracsandir, Zicolai, Zygirea, Zurbea, Zerolast, 
Aar, Kennagar, Akthul, B'cnus, Oceu, 
Abset, Yidagun, Adare, Adarluun, Raethal, 
Myumar, Mytos, N'zuth, Najarca, Nanta-Re, 
Cuurnakht, Nar Shaddos, Dirra, Narrant, Dra, 
Natunatu, Nibu, Curben, Dethanoni, Niilgaemun, 
Nintan, Osis, Neioth, Nemba, Nemban, 
Nugdra, Nurval, Nobea, Ubtrixta, Ixudeen, 
Udus, Saybluhn, Ulanje, Algara, Rotal, 
Khandrela, Javen, Uuvu, Upetiehr, Oranassian, 
Urd Ebanna, Urd Pardrun, Urd Trase, Urellon, Urtu, 
Eksiun, Ussil, Uta, Uttithan, Paikean, 
Pacoone, Libiya, Pantu, Patreem, Pismimbin, 
Paakri, Perec, Perul, Pudires, Kilanun, 
Praxles, Pruxema Debal, Zukarb, Urukablis, Kurestal, 
Rafa, Riigean, Riltuueni, Rinatasea, Rindula, 
Rittna, Rioss, Carenda, Karuse, Rindaliun, 
Sipan, Rukhi, Yenkhurr, Roan, Rotean, 
Namaryni, Sakkurea, Silagges, Sukurru, Murubi, 
Tallaan, Baraluo, Tarsont, Tatrong, Thaneom, 
Thela, Ilruud, Tefnyl, Tucmea, Tuula, 
Gakirean, Villaceya, Vennax, Se'Claata, Vudran, 
Brivust, Broanee, Byblus, Kintaris, Khalkidun, 
Kharmath, Kharun, Daidalun, Danuur, Dila, 
Ipesul, Isseun, Faltir, Fyudus, Gandulu, 
Halmat, Hapis, Escallun, Cludar, Lokazik, 
Agamar, Anuat, Virgissu, Bispen, Mostafar, 
